Sexo,Altura(m),Peso(kg)
M,1.88,109.7
M,1.75,73.6
M,1.88,96.5
M,1.82,99.8
M,1.77,93.6
M,1.71,69.0
M,1.75,83.4
M,1.74,76.2
M,1.7,79.8
M,1.61,70.9
M,1.81,84.6
M,1.82,97.0
M,1.65,75.8
M,1.76,85.9
M,1.76,84.6
M,1.72,78.1
M,1.84,88.9
M,1.62,78.4
M,1.77,84.4
M,1.73,82.7
M,1.73,79.0
M,1.76,89.7
M,1.68,67.7
M,1.91,103.8
M,1.72,73.5
M,1.73,87.2
M,1.75,83.7
M,1.85,93.8
M,1.71,79.5
M,1.74,70.0
M,1.74,85.1
M,1.88,96.6
M,1.82,88.5
M,1.76,93.1
M,1.77,92.6
M,1.79,87.5
M,1.75,89.6
M,1.71,83.4
M,1.67,74.3
M,1.63,74.0
M,1.73,78.1
M,1.83,88.0
M,1.66,76.5
M,1.68,73.1
M,1.71,74.7
M,1.78,85.7
M,1.73,84.8
M,1.83,94.8
M,1.76,87.1
M,1.85,95.9
M,1.65,75.1
M,1.78,91.2
M,1.74,78.7
M,1.71,82.3
M,1.7,77.0
M,1.69,74.1
M,1.74,86.1
M,1.8,87.1
M,1.81,89.9
M,1.78,95.0
M,1.81,90.2
M,1.77,89.8
M,1.87,88.6
M,1.7,74.8
M,1.81,81.6
M,1.66,70.4
M,1.73,83.7
M,1.85,100.1
M,1.73,83.1
M,1.75,89.1
M,1.76,83.7
M,1.79,94.1
M,1.77,80.4
M,1.72,74.0
M,1.84,98.1
M,1.81,92.8
M,1.82,91.1
M,1.84,100.2
M,1.69,89.1
M,1.68,76.5
M,1.72,82.3
M,1.73,90.1
M,1.88,107.9
M,1.77,78.5
M,1.68,72.9
M,1.81,85.5
M,1.69,94.5
M,1.75,87.7
M,1.73,79.0
M,1.84,89.5
M,1.82,91.5
M,1.66,82.1
M,1.79,82.6
M,1.64,80.5
M,1.7,74.8
M,1.65,75.2
M,1.82,87.6
M,1.7,82.0
M,1.69,78.4
M,1.76,80.5
M,1.78,91.1
M,1.7,76.1
M,1.68,70.0
M,1.74,80.7
M,1.78,83.4
M,1.75,81.3
M,1.72,71.9
M,1.68,75.5
M,1.76,78.0
M,1.72,79.1
M,1.76,85.2
M,1.73,91.4
M,1.82,93.0
M,1.76,81.1
M,1.71,74.4
M,1.87,101.3
M,1.77,92.1
M,1.74,85.9
M,1.72,80.8
M,1.82,101.3
M,1.62,75.8
M,1.75,81.9
M,1.7,74.6
M,1.59,68.0
M,1.84,87.5
M,1.8,91.6
M,1.72,81.6
M,1.8,89.1
M,1.76,85.1
M,1.68,77.9
M,1.71,87.0
M,1.67,75.2
M,1.81,84.2
M,1.74,80.9
M,1.63,68.5
M,1.8,95.2
M,1.73,79.0
M,1.74,81.6
M,1.73,76.1
M,1.73,83.0
M,1.75,76.9
M,1.68,78.7
M,1.68,82.1
M,1.71,83.2
M,1.76,93.4
M,1.79,83.4
M,1.81,91.6
M,1.8,98.0
M,1.68,72.3
M,1.84,95.4
M,1.71,81.0
M,1.66,66.6
M,1.8,88.9
M,1.78,77.2
M,1.64,77.0
M,1.76,90.0
M,1.75,81.6
M,1.57,66.8
M,1.74,80.3
M,1.66,84.1
M,1.63,80.5
M,1.75,77.0
M,1.84,90.1
M,1.71,92.2
M,1.71,87.6
M,1.65,80.8
M,1.68,73.8
M,1.72,72.3
M,1.66,78.1
M,1.77,91.6
M,1.74,77.3
M,1.83,93.2
M,1.73,77.0
M,1.83,90.9
M,1.68,81.0
M,1.69,76.2
M,1.72,80.6
M,1.73,87.7
M,1.65,73.7
M,1.71,83.2
M,1.73,82.1
M,1.77,95.6
M,1.69,75.1
M,1.69,89.0
M,1.83,91.6
M,1.73,77.3
M,1.78,91.6
M,1.83,87.7
M,1.67,81.6
M,1.7,71.0
M,1.95,106.6
M,1.84,104.6
M,1.77,92.5
M,1.85,99.0
M,1.84,101.0
M,1.84,94.6
M,1.71,82.0
M,1.93,105.2
M,1.68,77.4
M,1.81,85.4
M,1.81,88.9
M,1.83,97.3
M,1.91,101.7
M,1.64,71.9
M,1.64,75.5
M,1.61,72.6
M,1.72,79.9
M,1.67,79.1
M,1.8,88.0
M,1.72,84.8
M,1.74,78.7
M,1.79,87.7
M,1.84,94.5
M,1.8,93.5
M,1.67,78.3
M,1.9,105.5
M,1.72,80.4
